"Country or Area","Year(s)","GENDER","Value","Value Footnotes"
"Armenia","2005","Female","89.7",""
"Armenia","2005","Male","86.8",""
"Armenia","2004","Female","86.6","1"
"Armenia","2004","Male","85.3","1"
"Armenia","2003","Female","85.9",""
"Armenia","2003","Male","84.5",""
"Armenia","2002","Female","87.8",""
"Armenia","2002","Male","86.1",""
"Australia","2010","Female","97.5",""
"Australia","2010","Male","96.9",""
"Australia","2009","Female","97.5",""
"Australia","2009","Male","96.9",""
"Australia","2008","Female","97.4",""
"Australia","2008","Male","96.6",""
"Australia","2007","Female","97.2",""
"Australia","2007","Male","96.5",""
"Australia","2006","Female","95.7",""
"Australia","2006","Male","94.9",""
"Australia","2005","Female","95.6",""
"Australia","2005","Male","94.9",""
"Australia","2004","Female","95.4","1"
"Australia","2004","Male","94.7","1"
"Australia","2003","Female","95.3","1"
"Australia","2003","Male","94.6","1"
"Australia","2002","Female","95.3","1"
"Australia","2002","Male","94.6","1"
"Australia","2001","Female","94.8",""
"Australia","2001","Male","94.0",""
"Australia","2000","Female","95.0","1"
"Australia","2000","Male","94.2","1"
"Azerbaijan","2011","Female","86.0",""
"Azerbaijan","2011","Male","88.4",""
"Azerbaijan","2010","Female","84.1","1"
"Azerbaijan","2010","Male","85.3","1"
"Azerbaijan","2009","Female","84.7","1"
"Azerbaijan","2009","Male","86.2","1"
"Azerbaijan","2008","Female","83.6","1"
"Azerbaijan","2008","Male","84.3","1"
"Azerbaijan","2007","Female","83.1","2"
"Azerbaijan","2007","Male","83.8","2"
"Azerbaijan","2006","Female","80.8","2"
"Azerbaijan","2006","Male","86.5","2"
"Azerbaijan","2005","Female","81.5","2"
"Azerbaijan","2005","Male","86.3","2"
"Azerbaijan","2004","Female","82.7","2"
"Azerbaijan","2004","Male","85.8","2"
"Azerbaijan","2003","Female","80.9","2"
"Azerbaijan","2003","Male","85.7","2"
"Azerbaijan","2002","Female","83.9","2"
"Azerbaijan","2002","Male","85.9","2"
"Azerbaijan","2001","Female","84.8","1"
"Azerbaijan","2001","Male","86.1","1"
"Azerbaijan","2000","Female","88.0","1"
"Azerbaijan","2000","Male","88.5","1"
"Bahamas","2006","Female","96.2",""
"Bahamas","2006","Male","94.0",""
"Bahamas","2005","Female","96.8",""
"Bahamas","2005","Male","94.8",""
"Bahamas","2004","Female","92.6","1"
"Bahamas","2004","Male","91.3","1"
"Bahamas","2000","Female","86.7","1"
"Bahamas","2000","Male","88.2","1"
"Bahrain","2006","Female","99.6",""
"Bahrain","2006","Male","99.1",""
"Bahrain","2005","Female","96.2",""
"Bahrain","2005","Male","99.5",""
"Bahrain","2002","Female","98.1","1"
"Bahrain","2002","Male","99.6","1"
"Bahrain","2001","Female","99.9","1"
"Bahrain","2001","Male","99.1","1"
"Bahrain","2000","Female","99.8","1"
"Bahrain","2000","Male","97.2","1"
"Barbados","2007","Female","97.5",""
"Barbados","2007","Male","89.8",""
"Barbados","2006","Female","96.9",""
"Barbados","2006","Male","90.6",""
"Barbados","2005","Female","94.6",""
"Barbados","2005","Male","87.8",""
"Barbados","2004","Female","93.8",""
"Barbados","2004","Male","88.2",""
"Barbados","2003","Female","95.6",""
"Barbados","2003","Male","89.1",""
"Barbados","2002","Female","96.2",""
"Barbados","2002","Male","89.6",""
"Barbados","2001","Female","97.3",""
"Barbados","2001","Male","90.9",""
"Barbados","2000","Female","98.0",""
"Barbados","2000","Male","91.7",""
"Belgium","2010","Female","99.2",""
"Belgium","2010","Male","98.9",""
"Belgium","2009","Female","99.2",""
"Belgium","2009","Male","98.9",""
"Belgium","2008","Female","99.2",""
"Belgium","2008","Male","98.8",""
