"Country or Area","Year(s)","Value","Value Footnotes"
"Belarus","2002","0.46 [0.36-0.56]",""
"Belarus","2001","0.29 [0.23-0.34]",""
"Belarus","2000","0.17 [0.14-0.2]",""
"Belgium","2012","0.37 [0.32-0.42]",""
"Belgium","2011","0.39 [0.34-0.44]",""
"Belgium","2010","0.4 [0.35-0.45]",""
"Belgium","2009","0.39 [0.35-0.45]",""
"Belgium","2008","0.36 [0.32-0.41]",""
"Belgium","2007","0.36 [0.32-0.41]",""
"Belgium","2006","0.39 [0.34-0.44]",""
"Belgium","2005","0.39 [0.34-0.45]",""
"Belgium","2004","0.4 [0.35-0.46]",""
"Belgium","2003","0.37 [0.32-0.42]",""
"Belgium","2002","0.4 [0.35-0.45]",""
"Belgium","2001","0.42 [0.36-0.47]",""
"Belgium","2000","0.4 [0.35-0.45]",""
"Belize","2012","8.1 [6.6-9.7]",""
"Belize","2011","8.1 [6.6-9.7]",""
"Belize","2010","8.2 [6.7-9.8]",""
"Belize","2009","8.3 [6.7-9.9]",""
"Belize","2008","8 [6.6-9.7]",""
"Belize","2007","8.1 [6.6-9.7]",""
"Belize","2006","8.1 [6.6-9.8]",""
"Belize","2005","8.2 [7.1-9.4]",""
"Belize","2004","8.1 [6.6-9.7]",""
"Belize","2003","8.1 [7.1-9.3]",""
"Belize","2002","8.1 [6.6-9.7]",""
"Belize","2001","7.9 [6.4-9.4]",""
"Belize","2000","7.5 [6.2-9.1]",""
"Benin","2012","10 [8.3-12]",""
"Benin","2011","10 [8.6-12]",""
"Benin","2010","10 [8.6-12]",""
"Benin","2009","11 [9-13]",""
"Benin","2008","11 [9.5-14]",""
"Benin","2007","12 [9.8-14]",""
"Benin","2006","13 [11-16]",""
"Benin","2005","15 [12-18]",""
"Benin","2004","16 [13-19]",""
"Benin","2003","18 [15-21]",""
"Benin","2002","19 [16-23]",""
"Benin","2001","21 [17-25]",""
"Benin","2000","22 [18-26]",""
"Bhutan","2012","3.3 [2.8-3.8]",""
"Bhutan","2011","2.9 [2.5-3.4]",""
"Bhutan","2010","2.6 [2.3-3]",""
"Bhutan","2009","2.2 [1.9-2.6]",""
"Bhutan","2008","1.9 [1.7-2.2]",""
"Bhutan","2007","1.7 [1.5-2]",""
"Bhutan","2006","1.4 [1.2-1.6]",""
"Bhutan","2005","1.2 [1-1.4]",""
"Bhutan","2004","0.95 [0.82-1.1]",""
"Bhutan","2003","0.79 [0.68-0.91]",""
"Bhutan","2002","0.6 [0.51-0.69]",""
"Bhutan","2001","0.49 [0.42-0.56]",""
"Bhutan","2000","0.44 [0.38-0.51]",""
"Bolivia (Plurinational State of)","2012","4.1 [3.4-4.9]",""
"Bolivia (Plurinational State of)","2011","4.7 [3.8-5.5]",""
"Bolivia (Plurinational State of)","2010","5.1 [4.2-6.1]",""
"Bolivia (Plurinational State of)","2009","5.8 [4.7-6.9]",""
"Bolivia (Plurinational State of)","2008","6.4 [5.2-7.7]",""
"Bolivia (Plurinational State of)","2007","7 [5.7-8.4]",""
"Bolivia (Plurinational State of)","2006","7.6 [6.2-9.1]",""
"Bolivia (Plurinational State of)","2005","8.2 [6.7-9.8]",""
"Bolivia (Plurinational State of)","2004","8.7 [7.1-10]",""
"Bolivia (Plurinational State of)","2003","9.2 [7.5-11]",""
"Bolivia (Plurinational State of)","2002","9.6 [7.8-11]",""
"Bolivia (Plurinational State of)","2001","9.9 [8.1-12]",""
"Bolivia (Plurinational State of)","2000","10 [8.3-12]",""
"Botswana","2012","253 [226-281]",""
"Botswana","2011","285 [254-317]",""
"Botswana","2010","321 [286-357]",""
"Botswana","2009","361 [321-403]",""
"Botswana","2008","407 [368-448]",""
"Botswana","2007","429 [391-469]",""
"Botswana","2006","457 [419-496]",""
"Botswana","2005","494 [449-541]",""
"Botswana","2004","545 [489-603]",""
"Botswana","2003","585 [516-659]",""
"Botswana","2002","611 [526-703]",""
"Botswana","2001","628 [523-742]",""
"Botswana","2000","638 [511-777]",""
"Brazil","2012","8 [6.6-9.5]",""
"Brazil","2011","8.6 [7.1-10]",""
