"Country or Area","Year(s)","Value","Value Footnotes"
"Brunei Darussalam","2004","11 [11-12]",""
"Brunei Darussalam","2003","12 [12-13]",""
"Brunei Darussalam","2002","13 [12-13]",""
"Brunei Darussalam","2001","14 [13-14]",""
"Brunei Darussalam","2000","14 [14-15]",""
"Bulgaria","2012","150 [150-150]",""
"Bulgaria","2011","160 [160-160]",""
"Bulgaria","2010","190 [190-190]",""
"Bulgaria","2009","190 [190-190]",""
"Bulgaria","2008","230 [220-230]",""
"Bulgaria","2007","270 [260-270]",""
"Bulgaria","2006","250 [250-260]",""
"Bulgaria","2005","260 [260-270]",""
"Bulgaria","2004","280 [270-290]",""
"Bulgaria","2003","290 [280-290]",""
"Bulgaria","2002","290 [280-300]",""
"Bulgaria","2001","290 [290-300]",""
"Bulgaria","2000","590 [570-600]",""
"Burkina Faso","2012","1400 [600-2500]",""
"Burkina Faso","2011","1400 [620-2500]",""
"Burkina Faso","2010","1400 [630-2500]",""
"Burkina Faso","2009","1500 [630-2600]",""
"Burkina Faso","2008","1500 [630-2700]",""
"Burkina Faso","2007","1500 [630-2700]",""
"Burkina Faso","2006","1500 [620-2800]",""
"Burkina Faso","2005","1500 [610-2700]",""
"Burkina Faso","2004","1500 [610-2700]",""
"Burkina Faso","2003","1500 [600-2800]",""
"Burkina Faso","2002","1500 [590-2800]",""
"Burkina Faso","2001","1500 [590-2800]",""
"Burkina Faso","2000","1500 [580-2800]",""
"Burundi","2012","1800 [790-3200]",""
"Burundi","2011","1800 [840-3200]",""
"Burundi","2010","1800 [840-3200]",""
"Burundi","2009","1800 [840-3200]",""
"Burundi","2008","1900 [860-3400]",""
"Burundi","2007","2000 [890-3600]",""
"Burundi","2006","2100 [920-3700]",""
"Burundi","2005","2200 [960-4000]",""
"Burundi","2004","2200 [970-4100]",""
"Burundi","2003","2300 [1000-4200]",""
"Burundi","2002","2400 [1000-4300]",""
"Burundi","2001","2500 [1100-4600]",""
"Burundi","2000","2600 [1100-4900]",""
"Cabo Verde","2012","110 [47-210]",""
"Cabo Verde","2011","120 [49-220]",""
"Cabo Verde","2010","130 [51-240]",""
"Cabo Verde","2009","130 [52-250]",""
"Cabo Verde","2008","140 [54-260]",""
"Cabo Verde","2007","140 [55-270]",""
"Cabo Verde","2006","150 [56-280]",""
"Cabo Verde","2005","150 [57-280]",""
"Cabo Verde","2004","150 [57-280]",""
"Cabo Verde","2003","150 [58-290]",""
"Cabo Verde","2002","150 [57-290]",""
"Cabo Verde","2001","150 [57-290]",""
"Cabo Verde","2000","150 [57-290]",""
"Cambodia","2012","9300 [4300-16000]",""
"Cambodia","2011","9500 [4400-17000]",""
"Cambodia","2010","9800 [4500-17000]",""
"Cambodia","2009","10000 [4600-18000]",""
"Cambodia","2008","11000 [4700-19000]",""
"Cambodia","2007","11000 [4900-20000]",""
"Cambodia","2006","12000 [5000-22000]",""
"Cambodia","2005","13000 [5100-23000]",""
"Cambodia","2004","13000 [5200-25000]",""
"Cambodia","2003","14000 [5300-27000]",""
