Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Botswana,BWA,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,6318214000,5897250157,5473918814,5339775870,5661431015,6309056418,7992391905,9789741088,9118637749,8703960321,7885211136,8081886824,7627970306,7726052444,8322771529,7546144960,7188821775,7490512373,6656913638,6170221067,4940893803,4801608912,4278950590
Central African Republic,CAF,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,136311955.6,121827806.7,127052247.6,137053605.7,153195695.5,144923649.4,132419817.1,91867874.12,131466501,210590013.3,181175454.9,154510967.2,157902473.5,193663724.5,259571697.5,213800567.3,239797985.5,362717270.5,361797180.3,350305401.8,432524260.9,483872115.8,
Canada,CAN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,32427268296,34252695468,37189390324,36267581049,34476385088,33018041276,35063091947,41082108779,43872316564,54356329767,57151157771,65818985667,68546343362,71937085416,74699962253,79753521150,82718110858,86677706697,83925602808,85297110784,90428136419,1.06615E+11,1.06952E+11
Central Europe and the Baltics,CEB,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,53620270122,51549537913,61276111966,69563022240,74567877421,57575300181,64461048830,75172320982,74145636041,1.34566E+11,2.7048E+11,3.30586E+11,5.31302E+11,5.36235E+11,5.45787E+11,6.02403E+11,6.7891E+11,8.11031E+11,7.87021E+11,8.54929E+11,1.0834E+12,1.10982E+12,9.23628E+11
Channel Islands,CHI,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,15055115211,14399463581,15343862167,15842927419,15997301155,16933297690,19396987007,16843397511,23079229514,25292079031,27827450636,41943889985,41649256238,41093252539,40447379052,38641176606,40493293730,38981539754,39858824175,40655524238,39166118109,51252167800,39102338845
China,CHN,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,1.71763E+11,2.20057E+11,2.97739E+11,4.16199E+11,6.22949E+11,8.3141E+11,1.08076E+12,1.54636E+12,1.96604E+12,2.4529E+12,2.91371E+12,3.25467E+12,3.38751E+12,3.88037E+12,3.90004E+12,3.40525E+12,3.09766E+12,3.23568E+12,3.16822E+12,3.22289E+12,3.35724E+12,3.42793E+12,3.30684E+12
Cote d'Ivoire,CIV,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,220219413,340115355.1,639930327.3,652135227.6,842430190,964745492.9,1735263262,2931745510,3112861315,3675521656,3642642766,3198717753,3380703262,3471999831,3168216856,3536255066,2225708778,3196791411,3459329761,,,,
"Congo, Dem. Rep.",COD,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,82500000,82500000,73858396.52,97757335.85,236242009.3,131200257.9,154503797.2,180677437,77733370.44,1035381388,1299652041,1267500303,1632551644,1678465312,1556982978,1215934551,708160749.2,695398162,665272095,1194373485,747655324.3,3467115961,
"Congo, Rep.",COG,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,225059392,71990506.36,35447852.89,39441158.06,124471455.3,737537427.5,1848005218,2183569353,3881458051,3806250384,4446850566,5641136196,5549563315,5245011451,4926098059,2221497219,714352000.8,379984138.8,423617388.3,988316008,1140500575,828560334.6,
Colombia,COL,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,9005870485,10244081685,10844467605,10920223457,13536934555,14954554923,15437167996,20951442987,23670593274,24987458716,28076156124,31895547051,36997795800,43158795572,46809443348,46222893469,46173772893,47131104747,47887623364,52652707435,58499477957,58018679407,56703971713
Comoros,COM,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,43370718.71,62479684.97,80135345.67,94540111.96,103991907.5,86095117.22,93890572.09,117643066.4,112663906.9,150899368,146075888.5,156064553.7,195019557.1,174071468,171159502.4,200562427.7,159412124.1,207879895.5,199213183.3,202031707.2,294339897.9,329671752,283746116.1
