Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Caribbean small states,CSS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Czechia,CZE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Germany,DEU,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,297885046.7,299712992.6,358712496.2,395630618.8,460336601.1,486891630.5,566640519.7,810010699.4,845231817.3,898678026.1,768541095.7,769520335.7,802385752.1,820599815.1,943103980.6,1227496570,1702240895,2266964233,2321379195,2552579803,2679027858,3191138251,
Dominica,DMA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,183329449.5,232891070.6,248883164.5,307393729.2,324952433,294216801.6,272826815,265526478.1,260470785.8,271883558.1,271398373.2,280448697.4,304777493.7,309862659,308231897.2,317214934.8,300168362.9,299719824.9,278303809,277942461.4,329972931.5,377964173.7,
Denmark,DNK,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4617977128,5212380882,6574924041,7276848800,7818993971,7751825568,9219827515,10747913579,10609348066,11853860788,13498619112,15097329632,22101544978,23957826085,26269413480,26727445940,28291425525,29455812952,31864082652,34164838459,40262655187,43711557718,
Algeria,DZA,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,25461612754,22747999963,23038017583,23769718849,22415754059,17082006705,5899284213,6130383258,6240543721,7414292616,7252969909,6053727067,5515694092,5245606716,5521188949,4671396333,5463001797,5706818289,5710491550,5492379099,5177878074,7378781412,
East Asia & Pacific (excluding high income),EAP,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4.56155E+11,4.69872E+11,4.66237E+11,4.95248E+11,5.40369E+11,5.81224E+11,6.19749E+11,6.90228E+11,7.1791E+11,8.29143E+11,1.19213E+12,1.55644E+12,1.73808E+12,2.09635E+12,2.43867E+12,2.00388E+12,2.11258E+12,2.4819E+12,2.78952E+12,2.99342E+12,3.26943E+12,3.67863E+12,
Early-demographic dividend,EAR,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,,,,,,
