Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Brunei Darussalam,BRN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,869996.0454,892985.4012,
Bhutan,BTN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,0,2238933.573,2933039.377,3548930.805,4866701.168,8273480.865,10460534,18144730.43,11804283.71,14292342.89,19656507.92,34343456.66,43153828.43,58148515.8,56658762.94,83435182.59,73367268.39,95922583.76
Botswana,BWA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,18540860.97,17907642.66,19073417.49,27309329.16,78656415.96,117744505.8,103859006.6,92191518.15,46823196.34,15209029.19,22321278.92,20409878.29,18103143.92,36004335.94,46123119.08,30045619.57,24622501.68,38956561.47,44309897.4,59360104.14,35615908.37,57629183.97,55612162.54
Central African Republic,CAF,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Canada,CAN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,554559608.3,611188719.3,635318060.4,672291476.9,827662792.8,933656853.3,1085691997,1177479622,1299412197,1196444724,1199157750,1227344978,1254600490,1336538606,1351304689,1274255368,1289324860,1268185480,1295567217,1311782569,821832443.7,831502696.7,859834925.1
Central Europe and the Baltics,CEB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,3650744138,4638350241,5352262290,7388254572,11914402663,16645124628,20317459523,24671264339,27226613974,22540637222,20095292445,22032681348,21507437879,29210989740,30821855616,28730506320,30452552667,33174082642,35400194005,36776217453,34240635294,37101413989,36049056066
Switzerland,CHE,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,994933149.5,1176038086,1225420693,1533293466,1695345813,1721477365,1795179912,1795617230,2214728946,2341619109,2494622577,2615246749,2420420106,2437063152,2406168041,2516975789,2524093963,2591809298,2550734395,2549309963,2824679134,2736683989,2630758057
Channel Islands,CHI,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,13300000,11900000,12400000,11800000,11600000,0,0,0,0,51938053.68,62324923.11,70917381.9,72030040.74,71108144.91,60612706.42,58992215.84,64551112.66,66541753.59,69856849.79,69372771.36,70926721.44,69910175.82,77568650
China,CHN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,758082000,1209000000,2353070422,4625331810,6641220179,3337061829,4319492609,6833129702,9136546900,9209489821,13636040942,16568371453,17065623287,17790105219,29910500593,33104675862,26883278894,28675983092,24305605211,18294313104,18876250770,22482984989,51000000000
Cote d'Ivoire,CIV,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,119317176.8,116004821.8,120092422.5,141603500.4,159198211.7,163238757.5,166909883.1,184936824.5,199721402.2,316346324,373841959.2,397123339.1,367086167,384778636.2,387214302.3,336382061.9,342435061.1,307645127.9,332046730,328290412.1,329147636.2,440194174.7,360180000
Cameroon,CMR,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,22100034.18,16831585.08,29456452.63,75414618.6,103389306.4,77019167.22,130058704.6,167560280.2,162670388.5,185112093.2,114971017.9,219542284.8,210407729.6,244128552,283337565.9,241706990,268951584.7,316800671.4,333554498.4,355550645.8,334097288.5,430097112.1,364907332.7
"Congo, Dem. Rep.",COD,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,8900000,12800000,8800000,14700000,19500000,15700000,1127500000,855853174.6,1001358241,756410387.6,1166568218,593480274.8,1076294915,1822706176,2076317928,1196048014,1347879531,1663601393
"Congo, Rep.",COG,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,10352873.07,12119417.89,1176490.5,12388155.73,14954054.82,11379620.36,13207621.66,16687081.77,21717486.77,34089356.14,33137005.12,62226176.16,68345052.98,72057151.46,41593306.58,29796433.43,7710018.069,0,0,26242892.95,12632343.29,,
Colombia,COL,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1610122976,2056358873,2479942596,3076018647,3189709844,3345610321,3899159914,4460194477,4826851232,4124862554,4030846326,4101315891,4018674668,4449831680,4165731073,5001596492,5191956875,5818773635,6675079294,7115322399,6924526136,8608268971,9440138237
Comoros,COM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,32042448.36,48705002.16,54055725.53,63197512.58,74045486.76,101325440.1,100407532.6,87252086.92,108173891,110203511,0,159817450.3,131866003.3,116745529.7,131598332.3,172620209.6,168546820.2,226655757.8,287990718.1,249656580
Cabo Verde,CPV,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,89761166.15,80954171.13,85021681.69,108444935.6,113427832.6,136692598.6,136573208.4,138793676.3,155035990.8,135620281,130909874.5,176875019.6,176969700.3,175918335.4,196981864.6,200903517.8,211373829.2,216552202,234507467,215024389.6,234138375.8,314508174,313408367.7
Costa Rica,CRI,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,135975253.8,198443413.1,250646486.4,320879535,319546352.1,420346410,513156290.9,617920087.5,604768805,513091873.3,530688786,520219673.3,562342745,596399211,593925384.4,551988507.6,545423773.1,560366619.1,533509663.1,553377977.1,524786747.8,594130696.4,653538161.8
Caribbean small states,CSS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1204913198,1399024184,1662530246,1880931128,2176321832,2345027436,2542343943,2890072318,2873980045,2624814917,2826099080,3081624325,3197850618,3105175976,3245353146,3345821057,3325083979,3421399042,3403309464,3592544526,4251283556,5125693748,4595663044
Cuba,CUB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,0,0,0,0,0,0,150128491.6,135966480.4,133055865.9,143301676,142374301.7,148418994.4,160156424.6,155338570.7,176338624.3,132287789.4,141597887.3,131000000
Cayman Islands,CYM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,0,0,0,0,0,0,0,0,0,0,0,13507646.33,15584663.38,14256282.67,14148597.56,9008669.819,14000000,14000000
Cyprus,CYP,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,44986487.59,77850333.49,20660797.83,31813793.74,77391644.26,104817181.3,104511095,142176008.2,948622574.6,593413153.6,861734943.6,740510457.8,601116874.6,430999362.6,323088099,297848196.4,391574035.8,464457798.8,521192046.6,535460673.9,567643092.5,626771805.5,527339843.8
Czechia,CZE,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,293965052.4,256460660.8,332664617.8,493715526.5,1221907272,1340517764,1603247264,1827046315,1134443633,1196075195,1229063882,1394312633,1409130137,1737884337,2628261738,2674828099,3126388080,3585217057,3935990609,3859937090,4185806688,4386865793,4538534668
Germany,DEU,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,3603502764,3883047671,4653643268,5748398267,6515541641,6863864315,7484148242,9767490709,10973688793,12344791663,12788812790,15337123635,14637030444,16395715917,17075378095,15578082899,15197536776,15688314346,18903420949,18729702719,19359318362,20411777594,18000000000
Djibouti,DJI,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,12288924.78,11945690.15,14956026.58,24667878.3,24741026.67,25849505.69,28471593.12,28640397.03,30328436.14,32466619.03,32641049.74,32359709.88,33265624.21,39787082,37879597.8,39713933.64,40237225.76,41323197.6,59857867.11,79461628.06,64055457.71,79433494.07,54681648.25
Dominica,DMA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,13522222.22,14342592.59,14457759.26,14804814.81,20031140.74,21772344.44,22075033.33,22482585.19,22686333.33,22138522.22,22889296.3,22870140,23248898.52,23551134.07,50494650.15,55928203.98,44033723.67,44351321.08,42141418.37,47506082.5,58529943.51,65073681.24,52000000
Denmark,DNK,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,666510055.9,698623281.5,784859296.8,940572301.7,1075395076,666091577.1,740266388.8,823203959.2,1051704665,1019066492,925467462.1,1149885933,1182244240,1370760789,1483021800,1258255663,1247014793,1314451448,1415297049,1451438647,1488326094,1492206790,1517082764
Dominican Republic,DOM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1838800000,1981800000,2194300000,2325400000,2501200000,2719200000,3053800000,3397000000,3605500000,3414700000,3887000000,4240700000,4262100000,4485500000,4810400000,5196200000,5508400000,6177800000,6817700000,7420600000,8331600000,10742800000,9919750000
Algeria,DZA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,790000000,670000000,1070000000,1750000000,2460000000,170000000,189000000,99004563.35,103631887.2,150336961.5,196589288,202869816.2,214841268.6,209601443.4,2452442617,1997393458,1989023597,1791887073,1984998399,1785838683,1699608935,1791143423,1829459057
East Asia & Pacific (excluding high income),EAP,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,12571307442,14199418748,17455884919,21171325185,25443568924,28817333406,32932715959,39711156212,45746160611,47930616067,57501526802,63368272210,68198882731,74857378900,91284000911,97364295175,93451739499,98942427494,1.00207E+11,97856851788,96112067115,1.02464E+11,1.05313E+11
Early-demographic dividend,EAR,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,54207814119,59658196249,67785657296,82714170030,89596313254,1.07126E+11,1.27427E+11,1.47852E+11,1.73253E+11,1.67685E+11,1.85927E+11,2.09734E+11,2.3308E+11,2.40649E+11,2.57903E+11,2.61219E+11,2.5755E+11,2.77799E+11,3.04856E+11,3.24484E+11,3.36112E+11,3.79789E+11,3.78676E+11
East Asia & Pacific,EAS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,18737386767,20823552929,25323639173,29924043784,34683608119,37634573203,41817151166,49526692178,58118477394,58823830242,68803892737,76724575737,81965256983,88413794473,1.06258E+11,1.11474E+11,1.08032E+11,1.12934E+11,1.14552E+11,1.12154E+11,1.10553E+11,1.17623E+11,1.19487E+11
Europe & Central Asia (excluding high income),ECA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,8603577000,8631353477,8852963862,9531632469,13434212636,18148288363,22002132622,32770177731,40973550556,35294901144,37839305531,44186457776,46593993424,51301492946,49897320860,42279189428,43191863313,52283100723,59020206780,61818398603,57445481408,66295374913,72072128280
Europe & Central Asia,ECS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,44665722889,45854710229,50108864668,60396287344,73410118036,84932895915,96538473121,1.22238E+11,1.43683E+11,1.3249E+11,1.3405E+11,1.50342E+11,1.49836E+11,1.68307E+11,1.71125E+11,1.54627E+11,1.55808E+11,1.70146E+11,1.85807E+11,1.93901E+11,1.85452E+11,2.04686E+11,2.08256E+11
Ecuador,ECU,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,1322301000,1420558147,1438022869,1633427048,1838041771,2460000000,2933808811,3341337813,3088633129,2742436211,2599027039,2680596337,2476225962,2458803089,2472449389,2387555892,2612078852,2849068577,3039078509,3242684317,3343696164,4367441781,4467892942
"Egypt, Arab Rep.",EGY,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,2852000000,2911400000,2893100000,2960900000,3340700000,5017300000,5329500000,7655800000,8694000000,7149600000,12453100000,14324300000,19236400000,17833100000,19570400000,18325400000,18590400000,24737400000,25515700000,26781400000,29602900000,31487000000,32337149000
Euro area,EMU,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,25490610618,26242897713,29385214291,36195346987,41150097796,43929842251,48049199257,57849168862,69700256994,68082697437,69326718913,77373815447,75264384430,82115303693,84957179728,77851619642,77453056895,80724644885,87716321428,91753271435,90027753181,97371319096,96711842245
Eritrea,ERI,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,3284750.859,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Spain,ESP,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,648649652,699655911.7,745323091.2,900329952.8,1011285263,1135292902,1281555331,1676469544,1840374493,1524558689,1595954495,1714254523,2093910956,3035756690,3130366133,2673407399,2632183875,3004745214,3331709084,3206846642,2996361168,3955329827,8500000000
Estonia,EST,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,4052634.247,11020698.08,19148980.41,51207275.1,166878296.1,254609795,392138800.9,381282757.2,416329238.4,340051323.5,357084044.2,438650597.7,460675591.6,564796469.4,543923581.7,457282652.5,486482638.4,505091283.8,570404476.9,541915243.8,506608486.8,580277275.8,470072639.8
Ethiopia,ETH,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,53158882.38,18313718.17,32986894.42,46470192.46,133742806.2,173519405.7,172153314,357838225,386696265.8,261601951.5,436143876.3,538339894.7,624360669.9,833031317,1796377787,1086986751,772235946.6,393379170,436325463.1,479624165.3,404088319.9,447647084.1,327311539.1
European Union,EUU,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,29719401979,31573494344,35556406607,44902017891,53809096258,60201625399,67862508720,82202507283,95741392835,90598051852,89365489769,99077075847,96604826159,1.10678E+11,1.14844E+11,1.05771E+11,1.06624E+11,1.12621E+11,1.21713E+11,1.27104E+11,1.23439E+11,1.33567E+11,1.31351E+11
Fragile and conflict affected situations,FCS,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,5789813699,6048195877,9295559803,12640706025,16168135136,28598190758,32001909332,36738229553,42543627916,42265275070,45242099504,47485246773,50428861986,54933122606,54107576154,56123689132,56692753702,58298856063,67006158973,67728652778,59679245211,66845077922,70542282043
Finland,FIN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,472728415.2,490718039.7,477152547.4,526381939.3,666913866.8,692277075.8,714798889.2,805950015,959188912,865768666,893815226.2,756066320.3,862122979.6,1073207239,1068529689,865419880.7,860964517.5,908303115.9,841053346.5,797176578.3,812727157.7,667355299.1,594148071.8
Fiji,FJI,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,43301333.11,77584872.31,99401919.41,123678440.6,172645209.9,203312108.1,204579736.2,183212478.7,146677339.9,171057209.5,175631133.1,160556654.5,190607858.3,203570068.9,220967734.4,252357500,272362581.4,278737964.1,290061565.2,286567812.1,317155615.9,393635198.8,450000000
France,FRA,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,8869551607,9194240138,10599319442,12231755971,13342614138,14205076473,15535237652,17586416269,20085696123,19665370194,19898258274,22942280254,22666366759,24412282153,25358374728,24066989837,24042348847,24884547856,26229274711,30024725081,28823157458,32077312215,28520000000
Faroe Islands,FRO,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,42970000,39040000,39750000,44380000,49217894.8,80282305.11,89055616.15,109177969.4,136569580.1,138741437.4,146392824.3,158411750,0,0,0,0,0,0,0,0,0,,
"Micronesia, Fed. Sts.",FSM,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,,,,,,0,0,0,0,17349600,18066700,19428000,20803300,22046600,23338700,0,0,0,0,0,0,0,0
Gabon,GAB,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,6050763.424,5363974.692,2846533.112,5989329.181,6852364.361,11028154.17,0,14409511.05,20654067.56,13846230.03,38428998.66,21792198.45,22586458.56,16527000.61,29467150.85,18458042.25,14000000,14000000,14000000,14000000,14000000,14000000,4229600.276
