Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cabo Verde,CPV,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,29470000,18140000,20980000,56530000,42660000,43040000,43090000,46080000,54580000,49680000,35580000,23330000,16230000,15750000,23690000,18030000,18110000,19040000,25990000,32090000,17080000,
Costa Rica,CRI,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,23180000,40160000,26680000,26900000,27360000,27220000,28550000,43230000,34930000,30030000,29390000,26830000,31370000,28930000,29210000,23640000,24710000,27880000,24400000,23110000,22700000,
Caribbean small states,CSS,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,15050000,18850000,28300000,52130000,35310000,32140000,37340000,24870000,37420000,37300000,33280000,25350000,20270000,18350000,14190000,16140000,13460000,16160000,22900000,23000000,27610000,
Curacao,CUW,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,30000,510000,-20000,20000,940000,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,13700000,30590000,17200000,9880000,29890000,,,,,,,,,,,,,,,,,
Czechia,CZE,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,20260000,19200000,32130000,38090000,35700000,,,,,,,,,,,,,,,,,
Germany,DEU,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,23630000,25050000,23650000,27640000,29220000,31640000,41980000,19860000,14030000,14490000,16280000,14230000,17390000,23610000,32510000,15720000,12630000,12620000,13200000,16400000,12610000,
Dominica,DMA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,3290000,2750000,2720000,2260000,2390000,2750000,1360000,2090000,3020000,5200000,2290000,1630000,1470000,1820000,1070000,910000,510000,1080000,1460000,2020000,3530000,
Denmark,DNK,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,55890000,70310000,71930000,63900000,57030000,62400000,67570000,34700000,44960000,45150000,41350000,36720000,37290000,29670000,28750000,23940000,28220000,30800000,24620000,27670000,22670000,
Algeria,DZA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,76250000,77270000,96940000,146190000,189370000,197990000,199770000,228250000,177170000,191310000,186240000,74320000,168570000,168050000,158450000,126090000,144290000,155910000,178340000,159880000,159620000,
East Asia & Pacific (excluding high income),EAP,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
