Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belarus,BLR,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,7073500000,7860200000,8649600000,11007800000,15134500000,17704700000,21815900000,27148400000,36877500000,24817700000,29804900000,47242200000,52802700000,44904700000,44203300000,33405500000,30599500000,37438900000,43451100000,43144600000,38061000000,50364935977
Belize,BLZ,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,430609975.6,433958032.8,483393435.7,521232221.6,532400145.6,621781575.9,786064530.3,823317708.7,872493092.4,732767580.3,834170906.4,948530342.4,1039521955,1062177962,1091434215,1040919495,975774627.3,1037843639,1080804897,1112434208,722213182.6,1050416461
Bermuda,BMU,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,3538220000,4062408522,3796859890,3128974785,3150596256,3149722595,3120840152,3728541597,3225101912,3195210149,3254026689,3476883151,3540611310,3657511972,3067388858,3326321614
Bolivia,BOL,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1609734096,1641878270,1658552119,2032285036,2637965186,3400621025,4584798042,5324570735,7369497131,5662610000,6918664527,9259640783,12399420637,12923354978,14100527391,10038518415,8412909194,9769881368,10580229224,10414108244,7498668191,11513050882
Brazil,BRA,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,67980082348,70620649041,73111750666,86612196932,1.11797E+11,1.3732E+11,1.63045E+11,1.95367E+11,2.40186E+11,1.88996E+11,2.49556E+11,3.15251E+11,2.90087E+11,2.92506E+11,2.71696E+11,2.25957E+11,2.30333E+11,2.75689E+11,2.88126E+11,2.85204E+11,2.59381E+11,3.46967E+11
Barbados,BRB,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,1487323634,1390191279,1397242869,1550328754,1577192009,1897910464,2177829123,2366019798,2523351953,2167429726,2292523307,2587012922,2296743639,2640905237,2415767927,2638571004,2667550594,2301068745,,,,
Brunei Darussalam,BRN,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,4370084980,4370316127,5074003661,5849355901,7120262753,8619419398,8773233350,11868545475,8403066964,10198638550,13837820971,14338783603,13324521260,12679477494,7869854055,6418974173,7086499766,8039962736,8855694136,7805639830,12160188566
Bhutan,BTN,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,381915532.1,663135422.1,688334873.8,595343456.6,606876814.7,762221392.1,746446088.7,685401498.1,678569468.5,748140243.5,666802935.8,746384595.1,821097545.9,814917182.8,816188649.8,763669460.2
Botswana,BWA,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,3377990132,3032394025,3105156035,4092094956,4696603913,5731279638,5826188818,6535160445,5917575884,4474767259,5692305606,7505034786,6688489626,9009299048,9730746752,7430892778,8446438384,7168513757,7774439042,6521661936,4936864334,8069986099
Central African Republic,CAF,"Exports of goods, services and primary income (BoP, current US$)",BX.GSR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,
