Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,CHE,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2677726692,3063876050,4124359903,4290464082,6377607157,8406977350,7805943679,9120680527,11060842599,14681090860,16229511140,19151922198,22755548611,21359833564,23209266612,22677777819,25905081517,25387358113,31165212344,29973739916,23476459117,30708931701
Channel Islands,CHI,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,10000000,24902786.84,41100000,34916846,31087556.57,32233982.59,33282776.11,30838614.89,41572549.83,25423242.8,36137062.39,55297350.49,36188831.95,38257351.95,40769468.9,41950301.36,38437446.35,50489332.23,46185212.23,45131485.05,39645101.86,67186685.73
China,CHN,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,80348000,110000000,132822320.5,106978898.3,236359258.2,157401785.8,204503785.2,342634075,570536223.2,429452520,830483814,743301698,1044102041,886670295,676381923.7,1084600061,1161195655,4803034260,5561288668,6604705952,8582874882,11740190586
Cote d'Ivoire,CIV,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,0,22969.7768,0,298206.2503,136085.2541,0,,33747.49994,720895.467,973636.179,67657.65992,1553950.851,0,1878578.906,1449059.637,0,
Cameroon,CMR,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,2459983.634,56117.05277,44831.20519,161752.7441,121364.2789,347078.4211,229697.768,250713.6363,412556.0155,223264.8699,317303.5987,405306.2218,191947.475,204494.9928,206579.2117,592004.5243,612329.9672,607680.1044,8534513.101,2408284.154,2406487.646,1805405.874
"Congo, Dem. Rep.",COD,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,35200000,49600000,53800000,125000000,108500000,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Rep.",COG,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,1606464.697,,,725366.1229,34747.1965,
Colombia,COL,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,5695900.024,3183080.017,5101630.615,7557583.13,8725411.621,11285508.06,13071194.09,32690171.88,54104212.89,48221626.95,72661187.5,83017587.89,138714017.6,141459716.8,116382418,101196816.4,99122533.2,134001691.4,143866519.5,127065630.9,123030173.8,133010659.5
Comoros,COM,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,924301.3951,0,0,0,0,0,0,0,0,0,,0,1580933.987,0,0,0,,,
